Index,Engine Size (l),Cyl,HP,Average
0,3.5,6,225,21
0,3.5,6,225,21
0,3.5,6,265,20
0,3.2,6,290,20.5
0,2,4,200,27.5
0,3.2,6,270,24
0,2.4,4,200,25.5
0,1.8,4,170,26.5
0,3,6,220,24
0,3,6,220,23.5
0,3,6,220,21.5
0,3,6,220,21.5
0,3,6,220,21.5
0,1.8,4,170,26.5
0,2.7,6,250,21.5
0,3,6,220,23.5
0,3,6,220,21.5
0,3,6,220,21.5
0,4.2,8,300,20.5
0,4.2,8,330,20.5
0,4.2,8,450,18.5
0,4.2,8,340,18
0,4.2,8,340,17
0,1.8,4,180,24
0,1.8,4,225,24
0,3.2,6,250,25
0,2.5,6,184,24.5
0,2.5,6,184,23
0,2.5,6,184,24.5
0,2.5,6,184,23
0,2.5,6,184,22.5
0,3,6,225,25
0,3,6,225,23.5
0,3,6,225,25
0,3,6,225,24.5
0,2.5,6,184,23.5
0,3,6,225,25
0,4.4,8,325,22
0,4.4,8,325,22
0,4.4,8,325,22
0,3.2,6,333,19.5
0,3.2,6,333,20
0,3,6,225,19.5
0,4.4,8,325,19
0,2.5,6,184,24
0,3,6,225,25
0,3.1,6,175,25
0,3.8,6,205,24.5
0,3.8,6,205,24.5
0,3.8,6,205,24.5
0,3.8,6,240,23
0,4.2,6,275,18
0,3.8,6,240,23
0,3.8,6,200,25
0,3.4,6,185,22.5
0,3.6,6,255,21.5
0,4.6,8,275,22
0,4.6,8,300,22
0,6,8,345,15
0,5.3,8,295,16
0,4.6,8,275,22
0,4.6,8,320,18.5
0,4.6,8,320,21
0,4.3,6,190,15.5
0,5.3,8,295,16
0,1.6,4,103,31
0,1.6,4,103,31
0,2.2,4,140,31.5
0,2.2,4,140,31.5
0,2.2,4,140,31.5
0,2.8,4,175,20.5
0,5.7,8,350,21.5
0,5.7,8,350,21.5
0,3.4,6,180,26.5
0,3.8,6,200,25
0,3.8,6,240,23
0,2.2,4,145,29
0,3.5,6,200,26
0,3.5,6,200,27.5
0,3.5,6,200,26
0,3.4,6,180,26.5
0,3.8,6,200,23
0,4.3,6,200,18
0,6,8,300,15
0,5.3,8,300,17.5
0,5.3,8,295,16
0,5.3,8,295,16
0,2.5,6,165,20.5
0,4.2,6,275,18.5
0,3.4,6,185,22.5
0,2.4,4,220,24
0,3.5,6,250,22.5
0,3.5,6,255,22.5
0,2.7,6,200,25
0,3.5,6,232,23
0,3.2,6,215,21
0,3.5,6,250,20
0,2.4,4,150,25.5
0,2.4,4,150,25.5
0,2.4,4,150,26
0,2.4,4,150,26
0,2.7,6,200,24.5
0,2.7,6,200,24.5
0,3.8,6,215,21.5
0,3.3,6,180,22.5
0,4.8,8,285,17.5
0,2.4,4,150,23
0,3.7,6,210,19
0,3.7,6,210,19
0,4.7,8,230,18
0,3.8,6,215,21.5
0,3.5,6,232,22.5
0,2.7,6,200,25
0,2,4,132,32.5
0,2,4,132,32.5
0,3.7,6,215,18.5
0,2.4,4,150,24.5
0,2.4,4,150,24.5
0,8.3,10,500,21
0,4.6,8,224,21
0,4.6,8,224,21
0,4.6,8,239,20.5
0,3,6,201,17
0,6.8,10,310,17.5
0,4.6,8,232,17
0,4,6,210,16
0,4.6,8,231,31.5
0,5.4,8,300,29.5
0,2,4,110,24.5
0,2,4,130,29.5
0,2,4,170,29.5
0,2,4,130,29.5
0,2,4,130,20
0,2,4,130,24.5
0,3.9,6,193,21
0,3.8,6,193,26.5
0,4.6,8,260,23.5
0,2.3,4,143,22.5
0,3,6,155,22.5
0,3,6,155,20.5
0,3,6,201,21.5
0,3.9,8,280,17
0,2.8,4,175,18
0,4.2,6,275,18.5
0,4.3,6,190,17
0,4.8,8,285,15
0,6,8,300,30
0,4.3,6,190,25.5
0,6,8,325,30
0,2.4,4,160,25.5
0,3,6,240,35
0,2.4,4,160,34.5
0,3,6,240,40
0,1.7,4,115,48.5
0,1.7,4,127,35
0,1.7,4,117,28
0,1.4,4,93,23
0,1.7,4,115,22.5
0,2,4,160,63
0,2.4,4,160,21.5
0,2.4,4,160,21.5
0,2,3,73,19.5
0,3.5,6,240,22.5
0,3.5,6,240,11
0,3.5,6,240,31
0,2.2,4,240,31
0,6,8,316,31
0,1.6,4,103,30
0,1.6,4,103,30
0,1.6,4,103,30
0,2,4,138,23
0,2,4,138,23
0,2,4,138,23
0,2.7,6,173,22.5
0,2.7,6,170,21.5
0,2.7,6,170,21.5
0,2.7,6,172,19
0,3.5,6,194,17
0,3.5,6,194,22
0,3.5,6,280,22
0,4.5,8,315,22
0,3.5,6,260,22.5
0,3.5,6,260,20
0,3.5,6,280,20
0,3.5,6,255,17.5
0,4.5,8,340,19
0,4.5,8,340,22
0,4.2,6,275,23
0,3.2,6,193,20.5
0,3,6,235,23
0,4.2,8,294,23
0,4.2,8,390,20.5
0,4.2,8,294,22
0,4.2,8,294,22
0,4.2,8,390,19.5
0,4.2,8,294,19.5
0,4.2,8,294,22
0,4.2,8,390,21.5
0,4.2,8,390,18.5
0,2.5,6,192,22
0,3,6,227,17.5
0,4,6,195,21
0,2.4,4,150,26.5
0,4,6,190,23.5
0,3.5,6,195,28.5
0,2.4,4,138,29.5
0,2.7,6,170,29.5
0,1.6,4,104,19
0,1.6,4,104,17.5
0,1.6,4,104,28
0,3.5,6,195,28
0,3.5,6,192,28
0,1.8,4,124,14
0,1.8,4,124,19.5
0,1.8,4,124,14
0,4.6,8,217,24.5
0,2.5,6,174,21.5
0,4.4,8,282,20.5
0,3.3,6,225,17
0,3,6,220,21
0,4.3,8,300,21.5
0,4.7,8,235,21
0,3,6,215,21.5
0,3,6,215,15
0,3,6,215,21
0,4.3,8,290,20.5
0,4.7,8,235,15.5
0,3.3,6,230,23
0,4.3,8,300,23
0,4.6,8,302,20.5
0,3,6,232,20.5
0,3,6,232,15.5
0,3.9,8,280,21
0,3.9,8,280,21
0,5.4,8,300,21
0,4.6,8,239,26.5
0,4.6,8,239,17
0,4.6,8,239,21.5
0,2.3,4,143,25.5
0,4,6,207,25.5
0,3,6,200,21.5
0,1.8,4,142,21
0,1.8,4,142,23.5
0,1.3,-1,197,28
