Country,Year,"Count of terrorist incidents"
Afghanistan,1979,4
Afghanistan,1981,1
Afghanistan,1982,4
Afghanistan,1983,3
Afghanistan,1984,1
Afghanistan,1985,1
Afghanistan,1986,2
Afghanistan,1987,2
Afghanistan,1988,6
Afghanistan,1989,2
Afghanistan,1990,2
Afghanistan,1991,1
Afghanistan,1992,2
Afghanistan,1993,4
Afghanistan,1994,1
Afghanistan,1995,2
Afghanistan,1996,3
Afghanistan,1998,4
Afghanistan,2001,3
Afghanistan,2002,65
Afghanistan,2003,148
Afghanistan,2004,146
Afghanistan,2005,207
Afghanistan,2006,352
Afghanistan,2007,317
Afghanistan,2008,450
Afghanistan,2009,291
Albania,1981,1
Albania,1982,1
Albania,1990,1
Albania,1991,1
Albania,1993,1
Albania,1994,1
Albania,1997,2
Albania,1998,28
Albania,1999,2
Albania,2001,3
Albania,2002,3
Albania,2003,1
Albania,2004,1
Albania,2005,4
Albania,2007,4
Algeria,1972,2
Algeria,1977,1
Algeria,1985,1
Algeria,1991,2
Algeria,1992,6
Algeria,1993,9
Algeria,1994,31
Algeria,1995,12
Algeria,1996,4
Algeria,1997,2
Algeria,1998,81
Algeria,1999,14
Algeria,2000,8
Algeria,2001,4
Algeria,2002,5
Algeria,2003,7
Algeria,2004,12
Algeria,2005,15
Algeria,2006,29
Algeria,2007,38
Algeria,2008,36
Angola,1969,1
Angola,1975,4
Angola,1976,1
Angola,1979,1
Angola,1981,1
Angola,1982,3
Angola,1983,5
Angola,1984,8
Angola,1985,3
Angola,1986,2
Angola,1987,1
Angola,1989,3
Angola,1990,3
Angola,1992,5
Angola,1993,6
Angola,1994,4
Angola,1995,2
Angola,1996,1
Angola,1997,1
Angola,1998,4
Angola,1999,7
Angola,2000,1
Angola,2001,5
Angola,2002,1
Argentina,1968,6
Argentina,1969,26
Argentina,1970,19
Argentina,1971,16
Argentina,1972,14
Argentina,1973,14
Argentina,1974,48
Argentina,1975,19
Argentina,1976,29
Argentina,1977,12
Argentina,1978,4
Argentina,1979,1
Argentina,1982,2
Argentina,1983,3
Argentina,1984,5
Argentina,1985,3
Argentina,1986,1
Argentina,1987,1
Argentina,1988,3
Argentina,1990,9
Argentina,1991,4
Argentina,1992,3
Argentina,1993,1
Argentina,1994,3
Argentina,1995,2
Argentina,2001,1
Argentina,2002,1
Argentina,2003,3
Argentina,2004,6
Argentina,2005,8
Armenia,1998,3
Armenia,1999,3
Armenia,2002,2
Australia,1969,4
Australia,1970,1
Australia,1971,2
Australia,1972,2
Australia,1974,1
Australia,1977,4
Australia,1978,3
Australia,1979,1
Australia,1980,1
Australia,1981,2
Australia,1982,2
Australia,1986,1
Australia,1988,3
Australia,1991,3
Australia,1994,2
Australia,2001,1
Austria,1968,2
Austria,1972,2
Austria,1973,1
Austria,1975,2
Austria,1976,2
Austria,1977,2
Austria,1979,3
Austria,1981,3
Austria,1982,11
Austria,1983,1
Austria,1984,5
Austria,1985,3
Austria,1986,3
Austria,1987,4
Austria,1989,1
Austria,1990,1
Austria,1991,2
Austria,1992,1
Austria,1993,2
Austria,1995,5
Austria,1996,1
Austria,1998,3
Austria,1999,1
Austria,2005,1
Azerbaijan,1994,1
Azerbaijan,1998,2
Azerbaijan,2000,1
Azerbaijan,2001,2
Azerbaijan,2008,3
Bahamas,1968,1
Bahamas,1976,1
Bahrain,1979,1
Bahrain,1986,1
Bahrain,1995,1
Bahrain,1996,10
Bahrain,1997,1
Bahrain,1998,1
Bahrain,2006,3
Bangladesh,1973,1
Bangladesh,1975,2
Bangladesh,1977,1
Bangladesh,1979,1
Bangladesh,1988,1
Bangladesh,1989,1
Bangladesh,1996,2
Bangladesh,1999,4
Bangladesh,2001,15
Bangladesh,2002,10
Bangladesh,2003,17
Bangladesh,2004,24
Bangladesh,2005,45
Bangladesh,2006,25
Bangladesh,2007,6
Barbados,1976,2
Belarus,1998,1
Belarus,2001,1
Belgium,1950,2
Belgium,1951,1
Belgium,1952,1
Belgium,1953,4
Belgium,1954,2
Belgium,1955,9
Belgium,1956,1
Belgium,1957,5
Belgium,1958,3
Belgium,1959,6
Belgium,1960,10
Belgium,1961,3
Belgium,1962,8
Belgium,1963,15
Belgium,1964,10
Belgium,1965,2
Belgium,1966,1
Belgium,1967,3
Belgium,1968,7
Belgium,1969,2
Belgium,1970,2
Belgium,1971,1
Belgium,1972,1
Belgium,1973,1
Belgium,1974,5
Belgium,1975,1
Belgium,1976,9
Belgium,1977,2
Belize,1992,1
Benin,1994,1
Bhutan,2006,2
Bhutan,2008,10
Bolivia,1968,1
Bolivia,1969,5
Bolivia,1970,10
Bolivia,1976,1
Bolivia,1980,1
Bolivia,1981,1
Bolivia,1982,2
Bolivia,1983,2
Bolivia,1984,2
Bolivia,1985,3
Bolivia,1986,2
Bolivia,1987,5
Bolivia,1988,5
Bolivia,1989,4
Bolivia,1990,4
Bolivia,1991,2
Bolivia,1992,3
Bolivia,1993,2
Bolivia,1994,1
Bolivia,1999,1
Bolivia,2001,5
Bolivia,2002,1
Bolivia,2003,2
Bolivia,2004,2
Bolivia,2005,2
Bolivia,2006,3
Bolivia,2007,4
Bolivia,2008,3
"Bosnia and Herzegovina",1993,1
"Bosnia and Herzegovina",1994,11
"Bosnia and Herzegovina",1995,2
"Bosnia and Herzegovina",1996,4
"Bosnia and Herzegovina",1997,5
"Bosnia and Herzegovina",1998,43
"Bosnia and Herzegovina",1999,7
"Bosnia and Herzegovina",2000,1
"Bosnia and Herzegovina",2001,8
"Bosnia and Herzegovina",2002,18
"Bosnia and Herzegovina",2003,3
"Bosnia and Herzegovina",2004,4
"Bosnia and Herzegovina",2005,1
"Bosnia and Herzegovina",2006,2
"Bosnia and Herzegovina",2007,1
"Bosnia and Herzegovina",2008,3
Botswana,1974,1
Botswana,1985,1
Botswana,2007,1
Brazil,1968,4
Brazil,1969,3
Brazil,1970,8
Brazil,1971,3
Brazil,1972,2
Brazil,1973,4
Brazil,1977,1
Brazil,1978,1
Brazil,1981,1
Brazil,1984,2
Brazil,1986,1
Brazil,1989,1
Brazil,1990,1
Brazil,1991,4
Brazil,1992,1
Brazil,1993,1
