Country,Year,"Count of terrorist incidents"
World,1968,98
World,1969,102
World,1970,179
World,1971,154
World,1972,198
World,1973,153
World,1974,231
World,1975,210
World,1976,327
World,1977,233
World,1978,222
World,1979,243
World,1980,236
World,1981,301
World,1982,358
World,1983,285
World,1984,327
World,1985,435
World,1986,377
World,1987,361
World,1988,369
World,1989,359
World,1990,286
World,1991,420
World,1992,272
World,1993,272
World,1994,310
World,1995,268
World,1996,238
World,1997,184
World,1998,1286
World,1999,1171
World,2000,1151
World,2001,1732
World,2002,2648
World,2003,1899
World,2004,2647
World,2005,4995
World,2006,6660
World,2007,4526
World,2008,2846
World,2009,560
