year1,Count,Rank,Site,Manufacturer,Computer,Country,Year,Processors,RMax,RPeak,Nmax,Nhalf,Processor Family,Processor,Proc. Frequency,System Family,Operating System,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent
2000,8,98,Bureau of Meteorology / CSIRO HPCCC,NEC,SX-5/16A,Australia,2000,16,123,128,99840,1340,NEC,NEC,250,NEC Vector,Super-UX,SMP,Research,Weather and Climate Research,Crossbar,Multi-stage crossbar,Australia and New Zealand,Oceania
2000,,243,University of Queensland,Sun Microsystems,HPC 10000 400 MHz Cluster,Australia,2000,96,59.04,76.8,0,0,Sparc,UltraSPARC II,400,Sun UltraHPC,Solaris,Constellations,Academic,Not Specified,N/A,N/A,Australia and New Zealand,Oceania
2000,,461,Telecommunication Company,Sun Microsystems,HPC 10000 400 MHz,Australia,2000,64,44.57,51.2,39936,4032,Sparc,UltraSPARC II,400,Sun UltraHPC,Solaris,SMP,Industry,Telecomm,N/A,N/A,Australia and New Zealand,Oceania
2000,,77,Bureau of Meteorology / CSIRO HPCCC,NEC,SX-5/32M2,Australia,2000,32,243,256,0,0,NEC,NEC,250,NEC Vector,Super-UX,Constellations,Research,Weather and Climate Research,Crossbar,Multi-stage crossbar,Australia and New Zealand,Oceania
2000,,133,Australian Partnership for Advanced Computing (APAC),Sun Microsystems,HPC 10000 400 MHz Cluster,Australia,2000,256,137.1,204.8,0,0,Sparc,UltraSPARC II,400,Sun UltraHPC,Solaris,Constellations,Academic,Not Specified,N/A,N/A,Australia and New Zealand,Oceania
2000,,188,University of Adelaide,Sun Microsystems,HPC 420 450 MHz Cluster,Australia,2000,160,110.01,144,0,0,Sparc,Sparc,450.5,NOW - Sun,Solaris,Cluster,Academic,Not Specified,N/A,N/A,Australia and New Zealand,Oceania
2000,,308,Telecommunication Company,Sun Microsystems,HPC 10000 400 MHz Cluster,Australia,2000,128,80.1,102.4,57120,10752,Sparc,UltraSPARC II,400,Sun UltraHPC,Solaris,Constellations,Industry,Telecomm,N/A,N/A,Australia and New Zealand,Oceania
2000,,468,University of Queensland,Sun Microsystems,HPC 10000 400 MHz Cluster,Australia,2000,96,59.04,76.8,0,0,Sparc,UltraSPARC II,400,Sun UltraHPC,Solaris,Constellations,Academic,Not Specified,N/A,N/A,Australia and New Zealand,Oceania
2000,5,53,European Patent Office,IBM,SP Power3 222 MHz,Austria,2000,562,334,499,0,0,Power,POWER3,222.2,IBM SP,AIX,MPP,Government,Not Specified,SP Switch,SP Switch,Western Europe,Europe
2000,,58,Federal Ministry for National Defense/STAB LRBS,IBM,SP Power3 375 MHz,Austria,2000,318,325,477,0,0,Power,POWER3,375,IBM SP,AIX,MPP,Government,Not Specified,SP Switch,SP Switch,Western Europe,Europe
2000,,117,Bayer AG,IBM,SP Power3 375 MHz,Austria,2000,150,154,225,0,0,Power,POWER3,375,IBM SP,AIX,MPP,Industry,Chemistry,SP Switch,SP Switch,Western Europe,Europe
2000,,209,Telekom Austria,IBM,SP Power3 375 MHz,Austria,2000,96,100,144,0,0,Power,POWER3,375,IBM SP,AIX,MPP,Industry,Telecomm,SP Switch,SP Switch,Western Europe,Europe
2000,,481,AI Informatics GmbH (AII),IBM,SP PC604e 332 MHz,Austria,2000,136,57.6,90.3,0,0,Power,PowerPC 604e,332.2,IBM SP,AIX,MPP,Industry,Database,SP Switch,SP Switch,Western Europe,Europe
